Stanowisko,Mg,Al,Si,K,Ca,Ti,Fe,X,Y
Krzesiny,0.6542,5.4949,33.1975,1.434,0.3711,0.2598,2.6248,0.8290501957835389,-6.644759372405212
Poznań,0.9279,8.493,24.8752,2.3583,1.7088,0.4615,3.2067,1.4292135120875127,4.13227707691903
Szewo,1.3505,4.7749,23.3356,1.616,0.4544,0.2441,2.6718,3.748173478080947,1.7361199219604004
Grójec,0.694,5.8626,27.0957,2.1272,4.9905,0.2057,0.0009,-3.362156233854452,0.8878695606489109
Starkowiec,0.8041,3.8884,25.8321,1.5137,3.9154,0.1687,1.5156,-0.9360298349554239,0.6523350988027641
Piątkowo,0.8153,4.293,27.6788,1.5562,4.0396,0.223,1.663,-1.7082511171421206,-0.7638422859258935
